line_number,status,reasons,left_or_columns,right
4691,rejected,too_long,"ᏩᏥᏯᏅᎲᏃ ᏔᏓᎳ ᎤᎴᏅᎲᎩ ᎤᏬᎯᏍᏔᏅᎩ, ᎯᎠ ᏄᏪᏒᎩ; ᏂᎯ ᎢᏣᏂᏌᏅᎯ ᎤᏣᏘ ᏅᏩᏙᎯᏯᏛ ᏦᏤᎭ, ᎠᎴ ᎣᏍᏛ ᏥᏄᎾᎵᏍᏓᏁᎭ ᏴᏫ ᎣᎦᏤᎵᎪᎯ ᏣᎦᏌᏯᏍᏗᏳ ᎨᏒ ᏥᏅᏗᎦᎵᏍᏙᏗᎭ, , And when he was called, Tertullus began to accuse him, saying, Seeing that by thee we enjoy much peace, and that by thy providence evils are corrected for this nation, ᎾᏍᎩ ᎢᏳᏍᏗ, ᎰᏍᏛ ᏈᎵᏏ, ᏂᎪᎯᎸ ᎠᎴ ᏂᎬᎾᏛ ᏂᎦᎥ ᎠᎵᎮᎵᏍᏗ ᎨᏒ ᎣᏣᏓᏂᎸᎪᎢ.""","we accept it in all ways and in all places, most excellent Felix, with all thankfulness."
4735,rejected,source_tag,"ᎠᎴ ᎾᏍᎩ ᎢᏳᏍᏗ ᎧᏃᎮᏛ ᎨᏒ ᏓᏆᏢᏫᏎᎲᎢ ᏅᏓᏳᎵᏍᏙᏔᏅᎩ, ᎯᎠ ᏅᏥᏪᏎᎸᎩ [ᏉᎳ]; ᏣᏚᎵᏍᎪ ᏥᎷᏏᎵᎻ ᏤᏅᏍᏗᏱ ᎾᎿᏃ ᎯᎠ ᎾᏍᎩ ᏂᎦᏛ ᏤᏧᎪᏓᏁᏗᏱ.","And I, being perplexed how to inquire concerning these things, asked whether he would go to Jerusalem and there be judged of these matters."
4835,rejected,too_long,"ᏦᎢᏃ ᏫᏄᏒᎸ ᎯᎠ ᏄᎵᏍᏔᏅᎩ; ᏉᎳ ᏚᏪᏟᏌᏅᎩ ᏄᏂᎬᏫᏳᏒ ᎠᏂᏧᏏ; ᎤᎾᏓᏟᏌᏅᏃ ᎯᎠ ᏂᏚᏪᏎᎸᎩ; ᎢᏥᏍᎦᏯ ᎢᏓᏓᏅᏟ, ᎠᏴ ᎥᏝ ᎪᎱᏍᏗ ᎦᏥᏍᎦᏅᏤᎸᎯ ᏱᎩ ᏗᎦᏤᎵ ᏴᏫ, ᎥᏝ ᎠᎴ ᎠᎩᏲᏍᏔᏅᎯ ᏱᎩ ᏗᎧᎿᏩᏛᏍᏗ ᏗᎩᎦᏴᎵᎨ ᎨᎩᏁᎸᎯ; ᎠᏎᏃ ᏥᎷᏏᎵᎻ ᏥᏴᎩ ᏗᎬᏆᏘᎾᏫᏛᎲᎩ ᏕᎬᎩᏲᏒᎩ ᎠᏂᎶᎻᏱ.","And it came to pass, that after three days he called together those that were the chief of the Jews: and when they were come together, he said unto them, I, brethren, though I had done nothing against the people, or the customs of our fathers, yet was delivered prisoner from Jerusalem into the hands of the Romans:"
4845,rejected,too_long,"ᎯᎠᏰᏃ ᏴᏫ ᎤᏂᎾᏫ ᎤᎵᏦᎲᏒ, ᎠᎴ ᏓᏂᎵᎷᎬ ᎦᏂᎵᏳ ᎠᎾᏛᎩᎠ, ᎠᎴ ᏗᏂᎦᏙᎵ ᏚᏂᏍᏚᎭ; ᎾᏍᎩ ᏗᏂᎦᏙᎵ ᏗᎬᏩᏂᎪᏩᏛᏙᏗ ᏂᎨᏒᎾ, ᎠᎴ ᏓᏂᎵᎷᎬ ᏗᎬᏩᎾᏛᎪᏙᏗ ᏂᎨᏒᎾ, ᎠᎴ ᎤᏂᎾᏫ ᎬᏩᏃᎵᏍᏙᏗ ᏂᎨᏒᎾ, ᎠᎴ ᏚᎾᏓᏅᏛ ᏧᏏᏁᏟᏴᏍᏗᏱ ᏂᎨᏒᎾ ᎠᎴ ᏗᎦᎦᏥᏅᏬᏗ ᏂᎨᏒᎾ."", For this people’s heart is waxed gross, And their ears are dull of hearing, And their eyes they have closed; Lest haply they should perceive with their eyes, And hear with their ears, And understand with their heart, And should turn again","And I should heal them."""
4889,rejected,source_tag,"Ꮎ-ᏍᎩᏂ [ᎤᏁᎳᏅᎯ] ᏗᏂᎦᏘᎴᎩ ᏥᎩ, ᎠᎴ ᎾᏃᎯᏳᎲᏍᎬᎾ ᏥᎩ ᏚᏳᎪᏛ ᎨᏒᎢ, ᏂᏚᏳᎪᏛᎾᏍᎩᏂ ᎨᏒ ᎠᏃᎯᏳᎲᏍᎩ ᏥᎩ; ᎤᏔᎳᏬᎯᏍᏗ ᎠᎴ ᎤᎿᎸᎯ ᎨᏒ ᎤᏂᎷᏤᏗ ᎨᏎᏍᏗ.","but unto them that are factious, and obey not the truth, but obey unrighteousness, shall be wrath and indignation,"
4935,rejected,source_tag,"ᎾᏍᎩ [ᏥᏌ ᎦᎶᏁᏛ] ᎤᏁᎳᏅᎯ ᎬᏂᎨᏒ ᏥᏄᏩᏁᎸ ᎠᎵᏍᎪᎸᏔᏅᎯ ᎪᎯᏍᏙᏗ ᎨᏒᎢ, ᎾᏍᎩ ᎪᎯᏳᏗᏱ ᎤᎩᎬ; ᏧᎾᏄᎪᏫᏎᏗᏱ ᎾᏍᎩ ᏚᏳᎪᏛ ᎢᏯᏛᏁᎯ ᎨᏒᎢ, ᎾᏍᎩ ᎦᏳᎳ ᎠᏍᎦᏅᏨᎯ ᎨᏒ ᎦᎬᏩᏓᏁᏗ ᎨᏒᎢ, ᎾᏍᎩ ᎤᏁᎳᏅᎯ ᎬᏂᏗᏳ ᎨᏒ ᎢᏳᏩᏂᏌᏅᎯ;","whom God set forth to be a propitiation, through faith, in his blood, to show his righteousness because of the passing over of the sins done aforetime, in the forbearance of God;"
4943,rejected,source_tag,"ᎢᏳᏰᏃ ᎡᏆᎭᎻ ᏚᎸᏫᏍᏓᏁᎲ ᎤᏚᏓᎴᏍᏔᏅᎯ ᏱᎩ, ᎤᎭ ᎤᏢᏈᏍᏙᏗ; ᎠᏎᏃ ᎥᏝ [ᏳᎭ,] ᎤᏁᎳᏅᎯ ᎠᎦᏔᎲᎢ.","For if Abraham was justified by works, he hath whereof to glory; but not toward God."
4948,rejected,source_tag,"[ᎯᎠ ᏥᏂᎦᏪᎭ,] ᎣᏏᏳ ᎢᏳᎾᎵᏍᏓᏁᏗ ᎤᏂᏍᎦᏅᏨ ᎦᎨᏥ-ᏁᎸᎯ, ᎠᎴ ᎤᏲ ᏄᎾᏛᏁᎸ ᎨᎫᏢᎾᏁᎸᎯ;","saying, Blessed are they whose iniquities are forgiven, And whose sins are covered."
4964,rejected,source_tag,"ᎥᏝ ᎠᎴ ᎤᏩᏒᏉ ᎨᏒ ᏱᏅᏗᎦᎵᏍᏙᏗᏍᎨ ᎪᏪᎳᏅᎯ ᏥᎩ, ᎾᏍᎩ [ᏚᏳᎪᏛ ᎢᏯᏛᏁᏗ ᎨᏒ] ᏣᏥᏰᎸᎾᏁᎴᎢ;","Now it was not written for his sake alone, that it was reckoned unto him;"
4965,rejected,source_tag,"ᎠᏴᏍᎩᏂ ᎨᏒ ᎾᏍᏉ ᏅᏗᎦᎵᏍᏙᏗᏍᎨᎢ, ᎾᏍᎩ [ᏚᏳᎪᏛ ᎢᏯᏛᏁᏗ ᎨᏒ] ᎡᎩᏰᎸᎾᏁᏗ ᏥᎩ, ᎡᏙᎯᏳᎲᏍᎩ ᎾᏍᎩ ᏧᎴᏔᏅᎯ ᎤᏲᎱᏒ ᏥᏌ ᎢᎦᏤᎵ ᎤᎬᏫᏳᎯ;","but for our sake also, unto whom it shall be reckoned, who believe on him that raised Jesus our Lord from the dead,"
4978,rejected,source_tag,"ᎾᏍᎩᏃ, ᏌᏉ ᎠᏍᎦᏯ ᎢᏳᏩᏂᏌᏛ ᎠᏍᎦᏂ ᎡᎶᎯ ᏧᎾᏄᎪᏨ, ᎠᎴ ᎠᏲᎱᎯᏍᏗ ᎨᏒ [ᏧᎾᏄᎪᏨ;] ᎠᏍᎦᏂ ᎢᏳᏩᏂᏌᏛ ᎠᎴ ᎾᏍᎩ ᏥᏂᎦᎵᏍᏙᏗᎭ ᎠᏲᎱᎯᏍᏗ ᎨᏒ ᏂᎦᏗᏳ ᏴᏫ ᏧᏂᎷᏤᎸ, ᏂᎦᏗᏳᏰᏃ ᎤᏂᏍᎦᏅᏨ","Therefore, as through one man sin entered into the world, and death through sin; and so death passed unto all men, for that all sinned:—"
4982,rejected,source_tag,ᎠᎴ ᎥᏝ ᎾᏍᎩᏯ ᎠᏏᏴᏫᏉ ᎤᏍᎦᏅᏨᎯ ᎢᏳᏩᏂᏌᏛ [ᏗᎨᎫᎪᏓᏁᏗ ᏥᏄᎵᏍᏔᏁ] ᎾᏍᎩᏯ ᏱᏄᏍᏗ ᎤᏓᏁᏗ ᎨᏒᎢ; ᎠᏍᎦᏅᏨᏰᏃ ᏗᎫᎪᏙᏗ ᎨᏒ ᏌᏉᏉ ᎢᏯᏍᎦᏅᏨᎯ ᏅᏓᏳᏓᎴᏅᎯ; ᎬᏩᎦᏘᏯᏍᎩᏂ ᎤᏓᏁᏗ ᎨᏒ ᎤᏣᏘ ᎢᏯᏍᎦᏅᏨᎯ ᎠᏚᏓᎴᏍᏙᏗ ᎤᎬᏩᎳ.,"And not as through one that sinned, so is the gift: for the judgment came of one unto condemnation, but the free gift came of many trespasses unto justification."
4993,rejected,source_tag,"ᎯᎠᏰᏃ ᎾᏍᎩ ᎢᏗᎦᏔᎭ, ᎾᏍᎩ ᎢᎦᏤᎵ ᎤᏪᏥ ᎠᏍᎦᏯ ᏓᏓᎿᏩᏍᏛ ᎠᎦᏛᏅ ᎢᏧᎳᎭ ᎾᏍᎩ [ᎦᎶᏁᏛ] ᎠᎦᏛᏅᎢ, ᎾᏍᎩ ᎠᏍᎦᏅᎢᏍᏗ ᎨᏒ ᎠᏰᎸ ᎡᎲ ᎤᏲᎱᎯᏍᏗᏱ, ᎪᎯ ᎢᏳᏓᎴᏅᏛ ᎠᏍᎦᏂ ᏗᎩᎾᏢᏗᏱ ᏂᎨᏒᎾ.","knowing this, that our old man was crucified with him, that the body of sin might be done away, that so we should no longer be in bondage to sin;"
4999,rejected,source_tag,"ᎾᏍᎩ ᎢᏳᏍᏗ ᏞᏍᏗ ᎠᏍᎦᏂ ᏳᎬᏫᏳᏌᏕᎨᏍᏗ ᏗᏲᎩ ᏗᏥᏰᎸᎢ, ᎾᏍᎩ [ᎠᏍᎦᏂ] ᎢᏦᎯᏳᏗᏱ ᎾᎿ [ᏗᏥᏰᎸ] ᎤᏚᎸᏅᎥᏍᎬᎢ.","Let not sin therefore reign in your mortal body, that ye should obey the lusts thereof:"
5044,rejected,source_tag,"ᏂᎯᏍᎩᏂ ᎥᏝ ᎤᏇᏓᎵ ᏗᏣᏘᏂᏙᎯ ᏱᎩ, ᎠᏓᏅᏙᏍᎩᏂ ᏗᏣᏘᏂᏙᎯ, ᎢᏳᏃ ᎰᏩ ᎤᏁᎳᏅᎯ ᎤᏓᏅᏙ ᏱᏥᏯᎠ. ᎠᎴ ᎢᏳ ᎩᎶ ᎦᎶᏁᏛ ᎤᏓᏅᏙ ᏄᏪᎲᎾ ᎢᎨᏎᏍᏗ, ᎾᏍᎩ ᎾᎥᏝ [ᎦᎶᏁᏛ] ᎤᏤᎵ ᏱᎦᎩ.","But ye are not in the flesh but in the Spirit, if so be that the Spirit of God dwelleth in you. But if any man hath not the Spirit of Christ, he is none of his."
5078,rejected,source_tag,"ᎾᏍᎩ ᎢᏏᎵ ᏧᏁᏢᏔᏅᏛ ᏥᎩ; ᎾᏍᎩ ᎤᎾᏤᎵᎦ ᏥᎩ [ᎤᏁᎳᏅᎯ] ᏧᏪᏥ ᎢᎨᎬᏁᏗ ᎨᏒᎢ, ᎠᎴ ᎦᎸᏉᏗᏳ ᎨᏒᎢ, ᎠᎴ ᎧᏃᎮᏛ ᏓᏠᎯᏍᏛᎢ, ᎠᎴ ᏗᎧᎿᏩᏛᏍᏗ ᎨᏥᏁᏗ ᎨᏒᎢ, ᎠᎴ ᎤᏁᎳᏅᎯ ᎤᏤᎵ ᏗᎦᎸᏫᏍᏓᏁᏗ ᎨᏒᎢ, ᎠᎴ ᎠᏚᎢᏍᏙᏗ ᎨᏒᎢ;","who are Israelites; whose is the adoption, and the glory, and the covenants, and the giving of the law, and the service of God, and the promises;"
5080,rejected,source_tag,"ᎥᏝ ᎠᏗᎾ ᎤᏁᎳᏅᎯ ᎤᏁᏨ ᎠᏎᏉᏉ ᏥᏄᎵᏍᏔᏃ ᎾᏍᎩᏯ [ᏱᏥᏁᎦ,] ᎥᏝᏰᏃ ᏂᎦᏛ ᎢᏏᎵ ᏱᎩ ᎾᏍᎩ ᎢᏏᎵ ᏧᏁᏢᏔᏅᏛ ᏥᎩ.","But it is not as though the word of God hath come to nought. For they are not all Israel, that are of Israel:"
5096,rejected,source_tag,"[ᎦᏙᏃ ᏳᏍᏗ,] ᎢᏳᏃ ᎤᏁᎳᏅᎯ ᎤᏚᎵᏍᎬ ᎬᏂᎨᏒ ᎢᏳᏩᏁᏗᏱ ᎤᏔᎳᏬᎯᏍᏗ ᎨᏒᎢ, ᎠᎴ ᎤᎵᏂᎬᎬ ᎤᎾᏄᎪᏫᏍᏗᏱ, ᎬᏂᏗᏳ ᎨᏒ ᎬᏗᏍᎬ ᎪᎯᏗᏳ ᎤᏁᎳᎩ ᏱᏚᏪᎵᏎᎸ ᏗᏖᎵᏙ ᎤᏔᎳᏬᎯᏍᏗ ᎨᏒ ᏗᏟᏍᏗ, ᏗᏛᏅᎢᏍᏔᏅᎯ ᏗᏛᏙᏗᏱ;","What if God, willing to show his wrath, and to make his power known, endured with much longsuffering vessels of wrath fitted unto destruction:"
5097,rejected,source_tag,"ᎠᎴ ᎾᏍᎩ [ᎤᏚᎵᏍᎬ] ᎬᏂᎨᏒ ᎢᏳᏩᏁᏗᏱ ᎤᏤᎵ ᎤᏣᏔᏅᎯ ᎦᎸᏉᏗᏳ ᎨᏒ ᏕᎬᏗᏍᎬ ᏗᏖᎵᏙ ᎤᏓᏙᎵᏍᏗ ᎨᏒ ᏗᏟᏍᏗ, ᎾᏍᎩ ᏧᏛᏅᎢᏍᏔᏅᎯ ᏥᏂᎨᏎ ᎦᎸᏉᏗᏳ ᏗᎨᏒ ᏭᎾᏕᏗᏱ,","and that he might make known the riches of his glory upon vessels of mercy, which he afore prepared unto glory,"
5135,rejected,source_tag,"ᎦᏙᏃ [ᏫᎬᏛᏗ ᏂᎦᎵᏍᏗᎭ?] ᎢᏏᎵ ᎥᏝ ᏳᏩᏛᎲ ᎾᏍᎩ ᏧᏲᎲᎩ; ᎨᎦᏑᏰᏛᏍᎩᏂ ᎨᏒ ᎤᏂᏩᏛᎲ, ᎠᏂᏐᎢᏃ ᏚᏂᎫᏏᏲᏨᎩ.","What then? That which Israel seeketh for, that he obtained not; but the election obtained it, and the rest were hardened:"
5144,rejected,source_tag,"ᎢᏳᏰᏃ ᎢᎬᏱᏱ ᎤᎬᏛᎾᏨᎯ ᎦᎸᏉᏗᏳ ᏱᎩ, ᏂᎦᏛ ᎾᏍᏉ [ᎦᎸᏉᏗᏳ;] ᎢᏳ ᎠᎴ ᏚᎿᏍᏕᏢ ᎦᎸᏉᏗᏳ ᏱᎩ, ᎾᏍᎩᏯ ᎾᏍᏉ ᏚᏩᏂᎦᎸᎢ.","And if the firstfruit is holy, so is the lump: and if the root is holy, so are the branches."
5164,rejected,source_tag,"ᎾᏍᎩᏰᏃ ᎨᏒ ᏅᏓᏳᏓᎴᏅᎯ ᏂᎦᏗᏳ ᏧᏓᎴᏅᏛ, ᎠᎴ ᎾᏍᎩ ᎢᏳᏩᏂᏌᏛ, ᎠᎴ ᎾᏍᎩ ᎤᎬᏩᎳ; [ᎠᎴ] ᎾᏍᎩ ᎦᎸᏉᏙᏗ ᎨᏎᏍᏗ ᏂᎪᎯᎸᎢ. ᎡᎺᏅ.","For of him, and through him, and unto him, are all things. To him be the glory for ever. Amen."
5170,rejected,source_tag,"ᎾᏍᎩᏃ ᏧᏓᎴᎿᎢ ᎡᎩᏁᎸᏅᎯ ᏥᎩ ᎾᏍᎩᏯ ᎬᏩᎦᏘᏯ ᎤᏓᏙᎵᏍᏗ ᎨᏒ ᎢᎩᏁᎸᎢ, ᎢᏳᏃ ᎠᏙᎴᎰᎯᏍᏗ ᏱᎩ, ᎾᏍᎩᏯ ᎪᎯᏳᏗ ᎨᏒ ᎡᎦᏟᎶᎡᎸ ᎢᏛᏗᏍᎨᏍᏗ [ᎢᏓᏙᎴᎰᏍᎨᏍᏗ;]","And having gifts differing according to the grace that was given to us, whether prophecy, let us prophesy according to the proportion of our faith;"
5189,rejected,source_tag,"ᎾᏍᎩᏰᏃ [ᏄᎬᏫᏳᏌᏕᎩ] ᎤᏁᎳᏅᎯ ᎤᏅᏏᏓᏍᏗ ᏂᎯ ᎣᏍᏛ ᎢᏣᎵᏍᏓᏁᏗ ᏧᎸᏫᏍᏓᏁᎯ. ᎢᏳᏍᎩᏂ ᎤᏲᏉ ᏙᏣᎸᏫᏍᏓᏁᎮᏍᏗ, ᎯᏍᎦᎢᎮᏍᏗ-ᎦᏅᎯᏛ; ᎤᏁᎳᏅᎯᏰᏃ ᎤᏅᏏᏓᏍᏗ ᎾᏍᎩ, ᎤᏞᎩ, ᎠᏍᏛᏗᏍᏗᏍᎩ ᎾᏍᎩ ᎾᎤᏲ ᏧᎸᏫᏍᏓᏁᎯ.","for he is a minister of God to thee for good. But if thou do that which is evil, be afraid; for he beareth not the sword in vain: for he is a minister of God, an avenger for wrath to him that doeth evil."
5194,rejected,source_tag,"ᎯᎠᏰᏃ ᎾᏍᎩ [ᏗᎧᎿᏩᏛᏍᏗ,] ᏞᏍᏗ ᏣᏓᏲᏁᎸᎩ, ᏞᏍᏗ ᏣᏓᎸᎩ, ᏞᏍᏗ ᏣᏃᏍᎩᏒᎩ, ᏞᏍᏗ ᎦᏰᎪᎩ ᏣᏃᎮᎸᎩ, ᏞᏍᏗ ᎪᎱᏍᏗ ᏱᏣᎬᎥᏍᎨᏍᏗ, ᎠᎴ ᏂᎦᎥ ᏅᏩᏓᎴ ᏗᎧᎿᏩᏛᏍᏗ, ᎯᎠᏉ ᎢᎦᏪᏛ ᏥᎩ ᎾᎿ ᎠᏙᏣᎸᏍᎦ ᎤᏍᏆᎳ ᎧᏁᎢᏍᏗ ᎨᏒᎢ, ᏨᏒ ᏂᏣᏓᎨᏳᏒ ᎾᏍᎩᏯ ᏂᎨᏳᏎᏍᏗ ᎾᎥ ᎢᏗᏍᏓᏓᎳ.","For this, Thou shalt not commit adultery, Thou shalt not kill, Thou shalt not steal, Thou shalt not covet, and if there be any other commandment, it is summed up in this word, namely, Thou shalt love thy neighbor as thyself."
5225,rejected,source_tag,"ᎦᎶᏁᏛᏰᏃ ᎾᏍᏉ ᎥᏝ ᎤᏩᏒᏉ ᎣᏍᏳ ᎤᏰᎸᏗ ᏱᎾᏛᏁᎮᎢ; ᎯᎠᏍᎩᏂ ᏥᏂᎬᏅ ᏥᎪᏪᎳ ᎾᏍᎩᏯ [ᏄᎵᏍᏓᏁᎴᎢ,] ᎦᎬᏩᎾᏓᏐᏢᏛ ᎾᏍᎩ Ꮎ ᎦᎨᏣᏐᏢᏔᏅᎢ ᎠᏴ ᎠᎩᎷᏤᎸᎩ.","For Christ also pleased not himself; but, as it is written, The reproaches of them that reproached thee fell upon me."
5241,rejected,source_tag,"[ᎠᎴ] ᎬᏗᏍᎬ ᎤᏰᎸᏛᎢ ᎠᎴ ᎤᏍᏆᏂᎪᏗ, ᎤᏁᎳᏅᎯ ᎤᏓᏅᏙ ᎤᎵᏂᎩᏗᏳ ᎨᏒ ᎬᏗᏍᎬᎢ; ᎾᏍᎩ ᏥᎷᏏᎵᎻ ᎤᏓᎴᏅᏛ, ᎠᎴ ᎤᏚᏫᏛ ᎢᎵᎵᎦᎻ ᏩᏍᏗ, ᎤᎧᎵᏨᎯ ᎠᏆᎵᏥᏙᏅ ᎣᏍᏛ ᎧᏃᎮᏛ ᎦᎶᏁᏛ ᎤᏤᎵᎦ;","in the power of signs and wonders, in the power of the Holy Spirit; so that from Jerusalem, and round about even unto Illyricum, I have fully preached the gospel of Christ;"
5383,rejected,source_tag,"ᎥᏝ ᎠᏗᎾ ᎿᏉ ᎠᏎ [ᎢᏤᏓᏍᏗᏱ ᏂᎨᏒᎾ] ᎾᏍᏉ ᎡᎶᎯ ᏗᏂᎧᏩᏕᎩ ᎤᏕᎵᏛ ᏗᎾᏂᏏᎲᏍᎩ ᎠᎴ ᎤᏂᎬᎥᏍᎩ ᎤᏕᎵᏛ ᏗᎾᏂᏏᎲᏍᎩ ᎠᎴ ᎤᏂᎬᎥᏍᎩ, ᎠᎴ ᎤᎶᏒᏍᏗ ᎠᎾᏓᎩᎡᎯ, ᎠᎴ ᎤᏁᎳᏅᎯ ᏗᏟᎶᏍᏔᏅᎯ ᏗᎾᏓᏙᎵᏍᏓᏁᎯ; ᎢᏳᏰᏃ ᎾᏍᎩ ᏱᏄᏍᏗ, ᎠᏎ ᎢᏥᏄᎪᎢᏍᏗ ᏱᎩ ᎡᎶᎯ.","not at all meaning with the fornicators of this world, or with the covetous and extortioners, or with idolaters; for then must ye needs go out of the world:"
5441,rejected,source_tag,"ᎠᎴ ᎯᎠ ᎾᏍᎩ ᏂᏥᏪᎭ ᎢᏨᏒ ᎣᏍᏛ ᎢᏣᎵᏍᏓᏁᏗ ᎠᏆᏑᎵᏍᎬᎢ; ᎥᏝ ᎢᏨᏌᏛᎥᏍᎬᏉ ᏱᎩ, ᎣᏏᏳᏍᎩᏂ ᎠᏰᎸᏗ ᎨᏒ [ᎢᏣᏛᏁᏗᏱ, ] ᎠᎴ ᎾᏍᎩ ᎤᎬᏫᏳᎯ ᏤᏥᎧᎿᏩᏗᏓᏍᏗᏱ ᎪᎱᏍᏗ ᏂᏥᏲᏍᏙᏓᏁᎲᎾ.","And this I say for your own profit; not that I may cast a snare upon you, but for that which is seemly, and that ye may attend upon the Lord without distraction."
5449,rejected,source_tag,"ᎢᏳᏍᎩᏂ ᎩᎶ ᎤᏁᎳᏅᎯ ᏳᎨᏳᎭ, [ᎤᏁᎳᏅᎯ] ᎾᏍᎩ ᎤᎦᏔᎰᎢ.","but if any man loveth God, the same is known by him."
5619,rejected,source_tag,"ᎾᏍᎩᏃ ᏧᏓᎴᏅᏛ ᏗᎦᏬᏂᎯᏍᏗ ᎨᏒ ᎪᎯᏳᏗᏍᎩ ᎠᏰᎸᎭ, ᎥᏝ ᎠᏃᎯᏳᎲᏍᎩ ᎤᏃᎯᏳᏓᏁᎯ ᏱᎩ, ᎠᏍᎩᏂ ᎠᏃᎯᏳᎲᏍᎩ ᏂᎨᏒᎾ; ᎠᏙᎴᎰᎯᏍᏗ [ᎤᏃᎯᏳᏓᏁᎯ] ᏱᎩ, ᎠᏃᎯᏳᎲᏍᎩᏍᎩᏂ.","Wherefore tongues are for a sign, not to them that believe, but to the unbelieving: but prophesying is for a sign, not to the unbelieving, but to them that believe."
5643,rejected,source_tag,"ᎣᏂᏃ ᎯᏍᎩᏧᏈ ᎤᎶᏒᏍᏗ ᎢᏯᏂᏛ ᎠᎾᎵᏅᏟ ᎢᏧᎳᎭ ᎬᏩᎪᎮᎢ; ᎾᏍᎩᏃ [ᎬᏩᎪᎲᎯ] ᎤᏟ ᎢᏯᏂᏛ ᎠᎾᎴᏂᏙ ᎠᏏ ᎪᎯ ᎨᏒᎢ, ᎢᎦᏛᏍᎩᏂᏃᏅ ᏚᏂᎵᏅᏨ.","then he appeared to above five hundred brethren at once, of whom the greater part remain until now, but some are fallen asleep;"
5644,rejected,source_tag,ᎣᏂᏃ ᏥᎻ ᎤᎪᎮᎢ; ᎿᏉᏃ ᏂᎦᏛ ᎨᏥᏅᏏᏛ [ᎢᎬᏩᎪᎮᎢ.],then he appeared to James; then to all the apostles;
5730,rejected,source_tag,"ᏂᎯ ᎾᏍᏉ ᏍᎩᏍᏕᎵᏍᎬ ᎢᏣᏓᏙᎵᏍᏗᏍᎬ ᎣᎩᏍᏕᎸᏗᏱ, ᎾᏍᎩ ᎣᎩᏙᎵᏨ ᎤᏂᏣᏘ ᎢᏳᏅᏂᏌᏛ ᏅᏓᏳᎵᏍᏙᏗᏱ ᎤᏂᏣᏘ ᎤᎾᎵᎮᎵᏤᏗᏱ [ᎤᏁᎳᏅᎯ] ᎠᏴ ᎨᏒ ᎢᏳᏍᏗ.","ye also helping together on our behalf by your supplication; that, for the gift bestowed upon us by means of many, thanks may be given by many persons on our behalf."
5737,rejected,source_tag,"ᎤᏁᎳᏅᎯᏍᎩᏂ ᏄᏓᎵᏓᏍᏛᎾ ᏥᎩ, ᎾᏍᎩ [ᏄᏙᎯᏳᎭ] ᎠᏴ ᎢᏨᏁᏤᎲ ᎥᎥ ᎠᎴ ᎥᏝ ᏂᎨᏒᎾ ᎨᏒᎢ.","But as God is faithful, our word toward you is not yea and nay."
5749,rejected,source_tag,ᎠᎵᏉ ᎾᏍᎩ ᎢᏳᏍᏗ [ᎠᏍᎦᏯ] ᏅᏍᏛᏛᎢ ᎾᏍᎩ ᎤᏂᏣᏘ ᏥᎬᏩᏍᏛᏗᏍᏔᏅ.,Sufficient to such a one is this punishment which was inflicted by the many;
5773,rejected,source_tag,ᎢᏝᏃ ᎼᏏ ᏥᏄᏛᏁᎴ [ᏱᏃᏣᏛᏁᎭ] ᏧᎵᎬᏚᎳᏁ ᎾᏍᎩ ᎢᏗᎵ ᏧᏪᏥ ᏫᏗᎬᏩᎾᎧᏃᏗ ᏂᎨᏒᎾ ᎢᏳᎵᏍᏙᏗᏱ ᏩᏍᏛ ᎾᏍᎩ Ꮎ ᎠᎲᏛ ᏥᎩ.,"and are not as Moses, who put a veil upon his face, that the children of Israel should not look stedfastly on the end of that which was passing away:"
5856,rejected,source_tag,"ᎠᎴ [ᎾᏍᎩ ᏄᎾᏛᏁᎸᎩ] ᎥᏝ ᎾᏍᎩᏯ ᏄᏍᏛ ᎤᏚᎩ ᎣᎬᏅᎢ, ᎢᎬᏱᏍᎩᏂ ᎤᏅᏒ ᎤᎬᏫᏳᎯ ᏚᎾᏓᏲᎯᏎᎸᎩ, ᎠᎴ ᎠᏴ ᏕᎪᎦᏓᏲᎯᏎᎸᎩ, ᎤᏁᎳᏅᎯ ᎣᏏᏳ ᎠᏰᎸᏍᎬ ᏅᏓᏳᎵᏍᏙᏔᏅᎩ.","and this, not as we had hoped, but first they gave their own selves to the Lord, and to us through the will of God."
5865,rejected,source_tag,"ᎢᎬᏩᏍᏗᎭᏍᎩᏂ [ᎢᏥᏗᏱ;] ᎾᏍᎩ ᎪᎯ ᎨᏒ ᎤᏣᏘ ᎢᏥᎲ ᏱᏗᏥᏍᏕᎸᏗᎭ ᎤᏂᏂᎬᏎᎲᎢ, ᎾᏍᎩᏃ ᎾᏍᏉ ᎤᏣᏘ ᎤᏂᎲ ᎨᏥᏍᏕᎸᏗᏱ ᎢᏥᏂᎬᏎᎲᎢ, ᎾᏍᎩ ᎢᎬᏩᏍᏗᎭ ᎢᏥᏗᏱ.","but by equality: your abundance being a supply at this present time for their want, that their abundance also may become a supply for your want; that there may be equality:"
